,City,Date,PC1,NO,NO2,NH3,CO,SO2,O3,AQI,humidity_mean,humidity_max,cloud_cover_sum,wind_speed_10m_mean,wind_speed_100m_max
0,Amaravati,2017-11-25,0.8239023476858073,1.44,20.5,10.72,0.12,15.24,127.09,184.0,64.90653325,89.346016,819.000009,9.180352425,27.248455
1,Amaravati,2017-11-26,0.8143979727735376,1.26,26.0,10.28,0.14,26.96,117.44,197.0,65.52386704166666,95.19859,532.800023,7.759277279166667,22.183128
2,Amaravati,2017-11-27,1.092656327256587,6.6,30.85,12.91,0.11,33.59,111.81,198.0,68.690749125,97.27576,618.900014,6.287075620833334,17.418196
3,Amaravati,2017-11-28,0.250680794052588,2.56,28.07,11.42,0.09,19.0,138.18,188.0,65.60204691666667,94.871315,378.0000126,7.019016070833334,25.630886
4,Amaravati,2017-11-29,0.5371111585746726,5.23,23.2,12.25,0.16,10.55,109.74,173.0,64.33966375,96.3769,189.0000071,10.35587275,23.904108
5,Amaravati,2017-11-30,0.48431252237064015,4.69,20.17,10.95,0.12,14.07,118.09,165.0,64.39706600000001,88.89546,606.0000073,11.8572108125,22.725668
6,Amaravati,2017-12-01,0.5522000365120087,4.58,19.29,10.95,0.1,13.9,123.8,191.0,62.48734820833334,87.566826,569.4000244,12.406233625,25.864943
7,Amaravati,2017-12-02,1.1705851138220271,7.71,26.19,13.12,0.1,19.37,128.73,191.0,63.82260595833333,87.47361,409.500001,12.132978225,27.475807
8,Amaravati,2017-12-03,1.0061012889208374,0.97,21.31,14.36,0.15,11.41,114.8,227.0,64.09613845833333,92.80909,86.99999974,9.227366833333331,23.4
9,Amaravati,2017-12-04,0.8939124063376482,4.02,26.98,14.41,0.18,9.84,112.41,168.0,64.71237283333333,91.36321,221.6999944,8.460808049999999,24.344624
10,Amaravati,2017-12-05,0.9311954128288271,3.7,20.23,13.72,0.12,14.02,117.93,198.0,65.527268875,89.42892,416.4000131,11.326015491666666,25.711662
11,Amaravati,2017-12-06,1.29869547053347,1.6,25.65,15.12,0.11,16.54,117.21,201.0,67.08523016666668,90.2496,517.2000058,6.910149466666667,19.881649
12,Amaravati,2017-12-07,2.187418318297524,4.26,41.1,17.34,0.13,28.79,94.63,252.0,64.94180091666666,94.5528,649.500016,5.266419675,17.072504
13,Amaravati,2017-12-08,2.6034512287980394,5.56,54.87,17.96,0.27,22.97,68.6,310.0,62.157154625,95.789055,260.7000081,7.816834975,20.808498
14,Amaravati,2017-12-09,0.8719338563059487,6.1,44.97,15.73,0.09,21.9,60.62,196.0,46.61481475,63.246635,201.30000904,9.713866220833332,23.42491
15,Amaravati,2017-12-10,-0.039528936299856966,1.73,33.85,12.56,0.1,13.65,68.15,132.0,46.46012291666667,71.65484,0.0,6.138231370833334,21.129885
16,Amaravati,2017-12-11,0.2639480056442342,4.93,41.64,15.2,0.16,18.37,73.75,147.0,61.344575041666666,98.47956,31.4999996,4.497346222916667,19.05281
17,Amaravati,2017-12-12,1.0608675711648905,7.97,42.1,21.24,0.24,7.42,44.67,179.0,70.41274354166667,96.7002,715.7999954,4.9622531875,20.497883
18,Amaravati,2017-12-13,0.20616303228227484,7.2,34.78,17.63,0.15,5.81,50.16,145.0,71.78324608333334,98.19284,580.2999834,5.676405625,25.96496
19,Amaravati,2017-12-14,0.29600028456852817,5.81,29.97,19.34,0.14,5.8,55.0,115.0,71.00813258333334,96.114944,603.8999994,7.830309304166666,22.702845
20,Amaravati,2017-12-15,0.4505066680841665,4.19,25.0,16.0,0.1,8.33,79.04,140.0,67.65787075,93.13226,536.6999941,9.323334720833332,22.366402
21,Amaravati,2017-12-16,0.8514931036712187,8.77,40.92,15.56,0.17,8.51,73.17,156.0,61.927955875,93.0994,303.0000112,7.686641629166666,23.333443
22,Amaravati,2017-12-17,1.8418957287260571,7.29,47.05,18.52,0.08,16.05,70.74,225.0,60.71846625,94.564896,119.7000031,6.827351258333334,23.966375
23,Amaravati,2017-12-18,1.7467989369861034,7.63,53.94,18.49,0.11,14.05,59.2,251.0,64.38570358333332,94.25159,270.3000047,6.697496270833334,24.066206
24,Amaravati,2017-12-19,1.850588695429532,2.74,43.09,19.66,0.13,15.45,66.9,228.0,65.88217041666667,96.331985,281.7000083,7.720405470833334,24.363249
25,Amaravati,2017-12-20,1.0677101002253273,6.77,47.47,17.37,0.3,13.35,77.54,223.0,62.63683954166667,94.47941,0.6,7.764578408333333,22.771244
26,Amaravati,2017-12-21,1.0590032482329743,7.02,49.55,17.28,0.14,13.58,79.71,170.0,66.39876720833333,97.86029,194.7000035,7.1804752291666665,19.245697
27,Amaravati,2017-12-22,1.0402729072494883,7.51,56.0,19.53,0.15,29.88,56.97,165.0,67.54644554166667,96.936165,99.899997,5.618611933333334,21.175837
28,Amaravati,2017-12-23,1.190867309874783,5.24,42.0,20.78,0.15,11.85,73.09,159.0,67.27217312500001,97.226295,53.7,6.4280896,18.278645
29,Amaravati,2017-12-24,1.6956128900223277,3.75,47.68,23.68,0.22,10.85,62.78,232.0,67.783706875,93.95279,319.8000059,7.040555783333333,23.34455
30,Amaravati,2017-12-25,1.9385401967692215,1.69,31.06,21.66,0.1,12.23,76.07,242.0,69.94989166666666,98.77048,25.1999998,5.750325495833334,20.570463
31,Amaravati,2017-12-26,1.8640901108422538,4.97,43.54,22.52,0.17,18.07,64.6,274.0,66.91244741666667,99.38218,297.5999929,6.064422904166666,16.704155
32,Amaravati,2017-12-27,2.0558352552396117,9.59,63.48,21.06,0.23,17.01,63.87,259.0,64.36408454166667,93.04328,365.700008,6.807152554166667,22.691423
33,Amaravati,2017-12-28,1.5676634396031537,10.95,64.53,18.87,0.27,15.52,62.49,225.0,60.83173791666667,93.87831,30.3,7.152007145833333,20.466246
34,Amaravati,2017-12-29,0.8482080058260688,6.14,46.65,18.2,0.17,9.47,67.11,177.0,62.856007625,95.66299,132.6000023,7.6481728291666675,23.928492
35,Amaravati,2017-12-30,0.16110100265782162,4.6,33.26,16.86,0.1,8.26,66.91,120.0,67.25923216666666,95.41319,434.400016,6.227856283333334,21.892027
36,Amaravati,2017-12-31,0.5000288175375217,5.51,39.5,17.82,0.08,11.45,61.91,120.0,53.29048154166667,96.02136,545.7000234,7.565130466666667,24.312662
37,Amaravati,2018-01-01,0.20210631244972616,3.45,23.36,18.03,0.09,26.05,87.55,120.0,55.571922416666666,84.80354,282.90001,7.1949813958333335,25.233404
38,Amaravati,2018-01-02,0.2699226522698719,3.87,23.14,19.57,0.09,12.81,81.38,132.0,66.24343404166667,94.312836,463.599996,6.057175979166666,22.961115
39,Amaravati,2018-01-03,0.7757412667539428,5.01,39.99,25.61,0.09,16.82,80.3,136.0,60.07035483333333,94.572945,644.9999959,6.778149782083333,20.00512
40,Amaravati,2018-01-04,1.6124687690231816,5.84,53.79,19.45,0.11,16.93,71.09,182.0,62.30469429166666,98.76302,478.8000042,5.99966195,20.393293
41,Amaravati,2018-01-05,1.4849683537899865,6.38,56.39,21.02,0.08,23.11,68.79,222.0,60.77239420833333,97.51617,70.20000280000001,5.646132566666666,19.855558
42,Amaravati,2018-01-06,1.2096020831866823,11.05,61.55,18.71,0.07,11.86,90.8,230.0,60.49563954166666,95.97632,354.3000117,5.8367326125000005,23.675303
43,Amaravati,2018-01-07,1.0652549817686248,6.45,46.9,20.18,0.07,9.63,96.49,224.0,63.13226920833333,96.29605,102.90000254,5.590751099999999,23.469128
